original,line
1013,keeping them in the file I don't know
1014,keeping track of things yeah I mean
1015,kick in the pants but she's also big on
1016,Kim's not on sabbatical she worked out
1017,kind of add some sort of more pointed
1018,kind of best practices for digital
1019,kind of has like a focusing
1020,kind of keep track of all this stuff and
1021,kind of like a typewriter except that
1022,kind of mess of that and like I mean you
1023,kind of order they go most recent to
1024,kind of permanence which is dangerous I
1025,kind of quickly and then we'll get to
1026,kind of step that gets left out that was
1027,kind of structure that in fact was that
1028,kind of the way I warmed up okay when I
1029,knew back years ago I didn't have a
1030,Knicks 9 when I started converting it to
1031,Knopf Scott a huge list does one
1032,know draft number 22 and eventually once
1033,know get some feedback on and and I said
1034,know how when you save something in say
1035,know I don't I probably write ten
1036,know I starts with a date and every page
1037,know once you're at that point that you
1038,know that this was interesting how come
1039,know the way a musician would noodle
1040,know what's up with that
1041,know which is which I have to keep okay
1042,know you need you just need to have a
1043,know you're right it doesn't change much
1044,know you've got published collections
1045,know-how or or the resourcefulness to
1046,knows and you if you're if you're
1047,language somehow the lens of the writing
1048,larger fabric and that has been assisted
1049,last few times I have sent poems off to
1050,last poem that big poems that went into
1051,last that makes you pretty normal but
1052,LCSC in 1977 I was a sabbatical
1053,learned from Sarah Madeleine DeFries
1054,less boring quite honestly and it may
1055,less intimate right great I don't have a
1056,let er rip so okay so I've got sort of a
1057,let her some Gwendolyn Brooks I did
1058,let's do a class emails and just with
1059,letter from Philippine he wrote me
1060,letter it's not like getting an email
1061,letter writing to well it made little
1062,letters
1063,letters twelve letters a year now and
1064,lie down because they just did not know
1065,life you manage your career and
1066,like 12 13 hours on campus Tuesday and
1067,like a craft lecture or something
1068,like a perfectly appropriate and maybe
1069,like a real poem in that phrase and so
1070,like and they tend to be people who've
1071,like anything else I've ever written so
1072,like anything I gave
1073,like how did you kind of learn how to
1074,like how does these person you know make
1075,like most of the job ah you know if you
1076,like multimedia yeah electronics no it
1077,like so chronologically it seemed better
1078,like that and if I were to do something
1079,like that if someone comes along and
1080,like the night leaks mugger like right
1081,like to tell them my own experience
1082,like well we were there for four days
1083,like you know like the cotton and this
1084,line and do a search and find it
1085,lineage of poets who sometimes can't
1086,lineage or of that sort you know like
1087,lines on the computer screen and saying
1088,lines the way they are and I'm a
1089,linkages yeah a lot of people do I think
1090,Linus send me what you got I sent him
1091,literature I think it was but anyway
1092,little arrows and checks and numbers and
1093,little bit about correspondence in a
1094,little bit about I mean these it is like
1095,little bit about teaching but so do you
1096,little bit more and crossing out and
1097,little draft of a poem called goodbye to
1098,little ended its intended your favorite
1099,little fellows in a moleskin a or
1100,little notebook interest to me so I just
1101,little pat no gorilla steakhouse Hill
1102,loaded rhyme at the end and I like and
1103,location how do you say like how do you
1104,locations throughout the text and
1105,long days I teach Tuesdays and Thursdays
1106,longhand and part-time writing on the
1107,longhand or printing actually I print
1108,look and think I look how cool is this
1109,look at 118 and and and I'll have
1110,look at it when it was divided into
1111,looking for is to get at that particular
1112,lose anything but it keeping track of
1113,lose hundreds of pages right right yeah
1114,lose track of I mean most of these are
1115,lot of not maybe through the rest of
1116,lot of things there's a pile of drafts
1117,lot of times is what's what in which
1118,love but yet I've never I've never
1119,love Moscow and I love Idaho and I've
1120,loved it so much that I'm buying these
1121,loved most
1122,lower your standards you quit trying to
1123,luxury to be on sabbatical or as I
1124,luxury to have time it's an even greater
1125,machine changer for opinion on that
1126,machines do just because the university
1127,made me happy never not like writing a
1128,magazines and got a poem published in
1129,magazines are accepting submissions
1130,mail or you get letters from from people
1131,make a book out of but mostly I'm just
1132,make me feel like I wasn't you Eve yeah
1133,make those kinds of changes and and I
1134,make to just to make it easier to find
1135,make use of I know exactly when I first
1136,making any changes of the collection
1137,manuscript calm this of such-and-such a
1138,many different ways you don't really
1139,many of them don't suck I think there's
1140,mater and the department of the skinny
1141,maybe don't really simple but I the
1142,maybe talk a little bit about how that
1143,me this inclination toward a particular
1144,mean about my drive my poor copy editor
1145,mean but you I mean you can see I don't
1146,mean I am but I should get if she
1147,mean I can go back and look at like I
1148,mean I I'm I'm a product of the creative
1149,mean I still do this the old-fashioned
1150,mean I think I think and and no one
1151,mean I was on I was on a Guggenheim when
1152,mean instead of about yeah III think
1153,mean it still got your sort you know
1154,mean I've always got I've got a couple
1155,mean that's facetious of course but I
1156,meaning electronic devices either or
1157,mechanism yeah so I I'm not too worried
1158,meditations beautiful country and now
1159,meetings on Wednesday if they don't want
1160,Memorial and I've never had a response
1161,meter and as far as I could tell most
1162,method were seriously digital analog not
1163,metrons different about it and if you
1164,Microsoft Word
1165,mid 90s mid 90s and that you started
1166,Middle East I mean the course they're
1167,middle of the book is this other long
1168,might have been because there's just so
1169,miles north of Moscow Idaho and how long
1170,mind if you're repeating yourself as
1171,mine we talked a little bit latest set
1172,minimally minimally minor you give
1173,miss or profession will be coming I mean
1174,missed this sometimes and I go back and
1175,moment that that problem of like
1176,Montana and then I went to I went back
1177,months old so you know it's going to be
1178,moon in a mason jar that's spinning
1179,moose and bigger and you're not quite
1180,more about your writing process in
1181,more all of a piece somehow and that
1182,more because you do me the favor of
1183,more comfortable than with with just
1184,more friendly it would just be a lot
1185,more friendly or intimate kind of
1186,more overarching on your practice over
1187,more permanent now given that I live in
1188,more unusual circumstances what drives
1189,more when you're writing longhand but
1190,more with computers I really did not
1191,mornings and I mean is there like set
1192,most recent couple of these to just
1193,most to be oldest um on the bottom of
1194,mostly I was if as a model for that poem
1195,mostly it's always seemed to me that the
1196,mostly sort of hybridized I like I like
1197,mother who always embroidered
1198,move in from revision you're always
1199,moving from in sort of one fell swoop
1200,moving some product me um your
1201,much been my routine really for a long
1202,much luck making actual poems until all
1203,much of it so maybe being sort of in
1204,my father believed and beautiful country
1205,my my private computer which sometimes I
1206,my students accuse me of hitting pros
1207,my that first note so that when I come
1208,my you can always tell there's no return
1209,myself and I can do that on the computer
1210,myself standing next to the statue of
1211,name your date of birth in the location
1212,need it's like with the sonnet I don't
1213,need to go by what an external drive for
1214,need to go somewhere else I need to
1215,need to write in in these things with
1216,needs to be mean and and sometimes you
1217,negative side you know you're here
1218,never had to go retrieve anything but
1219,never have any issues with it whereas PC
1220,never really written before or who are
1221,Newark C and katha pollitt they were the
1222,Newcastle and Hull I've got a picture of
1223,next
1224,next being sort of revisional with how
1225,nitty-gritty of it well it might be
1226,no I tell the students the graduate
1227,no I well no and you know my colleague
1228,no particular order in this I mean these
1229,no way to be outside at night unless
1230,nobody else Putnam publishes Linda
1231,nonfiction writer talks about all great
1232,nonsense is often called it or I'd read
1233,noonish 12:30 between 12:30 and 1:00
1234,North program summer it takes more three
1235,not a lot of there's not a lot of love
1236,not a success home like I said I've only
1237,not all that resourceful with the
1238,not have been boring it is not still
1239,not have to go from the typewritten
1240,not stay connected very awesome because
1241,not sure which of those drafts I prefer
1242,not to fiction I did I have in fact
1243,notebook but it would look different it
1244,notebook itself you can you can or I can
1245,notebook which could you describe what
1246,notes to myself sometimes notes and
1247,notes tools tools yeah uh I just saw a
1248,nothing and all of that stuff you know I
1249,novel about she downloaded maps of all
1250,now and then and if I do wind up
1251,now just breathe all I would comfort
1252,now of course it's just such a breeze
1253,now well of course I'm especially fond
1254,numbers and 186 maybe go into the
1255,numbers so I thought this is insane and
1256,observed have you ever received her
1257,occasion Dorian lux's has looked at
1258,occasionally this has not happened to
1259,occurred to me simply because the so
1260,of 1995 and I really honestly that this
1261,of a lot of tight spaces I know how to
1262,of a sudden I did yeah
1263,of an intermediary thing although
1264,of any sort of like their sort of
1265,of anything so I began to be a whole lot
1266,of copies made me a lot of money I
1267,of course but he's published I think two
1268,of course it does I mean when I in the
1269,of delineate a difference between how
1270,of electric typewriter but uh and I
1271,of Express no and yeah well you get some
1272,of failed poet
1273,of files in there this just called fan
1274,of gets us started but I mean the next
1275,of it because it's like the newest baby
1276,of line and yeah and I wish you will
1277,of my my father 24/7 I would have my
1278,of network of other writers any sort of
1279,of occasions Phil Levine has looked at
1280,of on to sort of how you organize you
1281,of our great indulgences but you know
1282,of poems I ever sent out I got something
1283,of poetry and I don't think my notion of
1284,of references and links to other things
1285,of some of these some of the margin me
1286,of that may just be that I've gotten to
1287,of the hole and the sections there n
1288,of the millennium I think for me and it
1289,of thing
1290,of time looking out the window but
1291,of turrets and still have the poem be
1292,of well the kind of thing that was more
1293,of what
1294,of writers that I did and it's more
1295,off a long draught and then I'd start
1296,off put them in a box and eliminate them
1297,off relentlessly
1298,off so it tapers heavy so I guess you
1299,off that there stay still love me but
1300,offered that degree in 1972 I think and
1301,office hours and hopefully if I'm on a
1302,often it was just another poet another
1303,oh I'm subtracting okay absolutely I
1304,oh no I just sat down the computer and
1305,oh sections crossed out so I guess you
1306,oh yeah Harrison okay how does it work
1307,okay and read at a place called the
1308,okay bingo and that sort of thing I
1309,okay I have a Mac what is it a MacBook
1310,okay it's a you know yeah it's a it's
1311,okay so first you would please face your
1312,okay so that's sort of a general
1313,okay so when you first started writing
1314,old and seemingly laborious manual
1315,on a book no I'm just writing poems yeah
1316,on a jump drive I think maybe too he
1317,on a kind of lark what happened if I
1318,on barriers I don't know well it on the
1319,on Moscow mountain not far well six
1320,on the computer screen let's say now in
1321,on the computer somewhere prowling
1322,on the Hasek I was reading and I heard
1323,on the U of I account because that's the
1324,on them if it takes me long until one
1325,on well that's sort of been the way I've
1326,on what you go don't want you to go as a
1327,once it's gone into bigger file oh
1328,once my papers it would be a lot happier
1329,once you how do you then you just
1330,one a low first question is when did you
1331,one device you ever moved things for one
1332,one I think that's one Kim retired
1333,one in Canada and applied to a number of
1334,one of the colonies this is the gemstone
1335,one of these no when this was 1996 I
1336,one of those fit your mode or is he
1337,one on on BBC four which is they tell me
1338,one's not pinning you you have to
1339,online yeah you find you have to
1340,only way I can get started is to just
1341,or come by they can just ask you and
1342,or five anonymous letters from some
1343,or not the large arc of your career and
1344,or or and then moving to the computer
1345,or staying the same as well I think III
1346,or three books and they've all been
1347,order to have some sense of what might
1348,organic for me about having the vision
1349,organize your stuff on the computer
1350,organizing poems in the book rain of
1351,orient revise drink no no I do when I
1352,other hand we we came and I enjoyed
1353,other kind of a reference a poem as Dick
1354,other people I think I said something
1355,other place I was really interested or
1356,other poets other writers but I don't
1357,other stanzas so I
1358,other stone okay
1359,other the example that occurs to me is
1360,other thing and it's the other thing
1361,other thing how can I make what this
1362,other thing Tony tony early the fiction
1363,other whole set of files so I am
1364,oughta had a comma there but by the way
1365,our conversation together and the email
1366,our correspondence over the last decade
1367,out early on
1368,out here by between my
1369,out here or where I go wherever it was I
1370,out longhand or you certainly feel them
1371,out of hell I got here I guess like what
1372,out or it usually holds ten reams of
1373,out that prose poem in stanzas had to be
1374,overview and then I'd like to kind of
1375,overwhelming sense of their being in arc
1376,owns the machine and I'd really don't
1377,page by the hand of the poet rather than
1378,page seven or or asked are a check 1:18
1379,paper right before these things that
1380,papers especially Western writers yeah
1381,part is where I tell my students I mean
1382,part of it too but publication you know
1383,part so there's a a poem on your
1384,particular on my mind whereas in the
1385,particular poet does his or her work and
1386,particular something and what I'm
1387,particular sound that appeals to me or
1388,particular title and that's it or
1389,particularly like or feel is evocative
1390,particularly strange because so many
1391,particularly were just enormous ly
1392,paste with a computer that it's it's
1393,Paul Muldoon and and that you know it's
1394,pay by the pound ha ha ha
1395,pen date on the corner of the draft just
1396,penciled in I thought about winding and
1397,pencils and pens and notebooks do you
1398,penguin all won prizes then it cooled
1399,Penguin Books over there because I'd
1400,penguin Random House and nobody knows
1401,people are much more resourceful with it
1402,people couldn't figure out what it meant
1403,people do you know beyond debt I have
1404,people I know a lot of poets I know of
1405,people like Pope probably are just red
1406,people tell me all the time when you
1407,people who buy so many piles of writers
1408,people you know people always ask things
1409,perceived the book this book and three
1410,perfectly comfortable just looking at
1411,person who hates me
1412,Philip Larkin in the train station oh
1413,phrase or it kind of moved toward an
1414,pick up that cell I call it sounds
1415,picture sir now if this is recording I'm
1416,pile called crank I've gotten like four
1417,place where you you surprise yourself
1418,places where when I get an idea or an
1419,Plath or and read the book of nightmares
1420,plumbers block I can't help you and and
1421,poem and such and such or then poems
1422,poem did so anyway I got I got waylaid
1423,poem go someplace else it might not have
1424,poem I lay him out on the floor but then
1425,poem in beautiful country is two hundred
1426,poem in lines on the word processor and
1427,poem is after and that what is
1428,poem to happen and it used to be as I
1429,poems and everything then it's mozi or
1430,poems and when email came along that
1431,poems for me Henry Carlyle who is only
1432,poems that have been published with the
1433,poems that have been submitted over here
1434,poems yeah and so what kind of devices
1435,poet friend I'd write him a letter
1436,poetry almost exclusively every now and
1437,Pope's and think if this had been cut by
1438,position opened up here and the only
1439,position same job and over this time
1440,possibilities of the poem might be and
1441,practices when you first started I mean
1442,prefer the process to the product
1443,preferred to have written to writing I
1444,presented it or does it or actually is
1445,pretty aware of what I'm up to and but
1446,pretty young program really yeah you
1447,prewriting read your notes I print off a
1448,prewriting those kind of development of
1449,primary mode of textual changes it's an
1450,primary motive probably around the turn
1451,print all of them all some i some I do
1452,print out and then do extensive
1453,printed off I got a whole file just of
1454,prints things I mean he's he's anal
1455,probably be a good idea to do something
1456,probably try to find them all huh no I
1457,process I can we more concerned about
1458,process there anything as you do I mean
1459,professional about it as a plumber is I
1460,professionally in which I mean something
1461,program to determine where the ends of
1462,programs wound up going to Montana fell
1463,prose poem in stanzas okay
1464,publicity who is now my editor who is
1465,publish a book of mine I can I can make
1466,published a couple of short stories
1467,published a poem in The New Yorker lot
1468,published and therefore might be
1469,published book used to be the last poem
1470,published I mean I that was all typed on
1471,published one less than a year ago right
1472,published reign of snakes the year I was
1473,publisher need for poetry lists what's
1474,publishing is your career you live your
1475,pull the get the hard drive out and
1476,pulling the one off the top this is a
1477,puny yeah but I've cut the the longest
1478,put it down yeah yeah okay so so that
1479,put it in a book it's it's it's finished
1480,put it in a different place you
1481,put stuff in boxes that's pretty well
1482,put them all together or you say oh I
1483,put things into the cloud the iCloud I
1484,put together that book manuscript and
1485,putting a poem as an attachment and send
1486,putting together a book manuscript I my
1487,quadrant more or less the same structure
1488,qualifies is failure and ambition and so
1489,quatrain the first quatrain ends with
1490,question is sort of like could you give
1491,question was that it does it seem I mean
1492,question yeah I kept I have always and I
1493,questions about computer and using
1494,questions that are sort of getting at
1495,quick and dirty questions but so what's
1496,Random House publishes Billy Collins and
1497,rather have theoretically Monday and
1498,read poems out of books at all bruh and
1499,reader and she's knows me so well that
1500,reading more like that people keep
1501,reading situations how do you feel about
1502,readings as through our readers what do
1503,realized that you know wait a minute I
1504,really been interested in writing one
1505,really beginning of work and various I
1506,really I just talked with Terence Hayes
1507,really is the kind of storage kind of
1508,really kind of do I'm delighted by the
1509,really loved the finished product or
1510,really most leads our first graph still
1511,really need any I don't need an idea I
1512,really stops once I get it in this in
1513,really trust the poem I was this not
1514,really willing correspondence and write
1515,reason or another I'm uncertain of the
1516,regard I think that it that it's just
1517,regularity just to sift through and see
1518,relationship to computers that they sort
1519,relying on them you know yeah so if I
1520,remember it and you know if I just go to
1521,repeating ourselves if you don't mind
1522,replacement for you
1523,respond and I do it's also great though
1524,retrieve everything hard drive was fine
1525,retrieve something off a forest fire
1526,revise that's a really good question
1527,revising the drill but then you're also
1528,revising you have there an intention
1529,revision general exam and so you're
1530,revision on the computer and the
1531,revision or you just sort of follow well
1532,revision process when I get seriously
1533,revisions on arrows things crossed out
1534,rhyme when I make a sound that I
1535,Richard Hugo and and they were you know
1536,ridiculous but yeah I'm loving me the
1537,right and something about saving and
1538,right and then I guess I mean we didn't
1539,right and what you were doing wrong with
1540,right in this spot and she's almost
1541,right margin mattering and and somehow
1542,right offer positive well yeah I should
1543,right right so I I I get it back out and
1544,right yeah and both stood by the time I
1545,rips through when I'm gone and it burns
1546,routine do you come out here in the
1547,sabbatical and two as I am now
1548,sabbatical yeah we'll see about that
1549,sacred ever but mostly when I'm ready to
1550,said hold homes would happen dog in
1551,said researcher should he or she ever
1552,said um you can't hate to realise you
1553,said well you know you're getting
1554,saying already done it I want to do that
1555,says what I do it from classes Jesus oh
1556,school she knows her stuff she says
1557,Scotland so much we I've been trying to
1558,Scottish poetry library which is just
1559,screen gives it the appearance more of a
1560,screen I mean there was nothing special
1561,seamlessness but not a kind of
1562,second-guess yourself you quit sitting
1563,section is based on that initial survey
1564,section of questions and I want to ask
1565,sections in each of the four parts and
1566,sections is part of the assemblage of
1567,sections so that each of I mean it seems
1568,see 99 the year I the year I was hired I
1569,see how that works so I guess the last
1570,see I got my first computer in the fall
1571,see I see five points I've been doing
1572,see or hear opportunities to to let the
1573,see some phrase I I make a note I make
1574,see the paper bald feels boldface
1575,see the possibility of substituting a
1576,see there there's some connective tissue
1577,see where the poem goes just to see
1578,seeing it on the screen in the computer
1579,seemed like a great way into the book
1580,seems far less effective to me to sit
1581,seems like I'm having good luck and part
1582,seems to me that it would it would
1583,seen that I would have seen if I'd been
1584,self-published
1585,send my now I send the editor an email
1586,send those well the Georgia review and
1587,sent out got accepted by our first batch
1588,sequence called rain of snakes yeah and
1589,sequence over the course of like two
1590,service as well
1591,serviceable in a collection somewhere
1592,seven eight and and all and then you go
1593,shade on a swindle or a value I didn't I
1594,she can just she can tell when she needs
1595,she did that nothing but and she never
1596,she said okay this stanza here needs to
1597,sheet back to the notebook so there is a
1598,she's a special woman she is
1599,she's the one who says okay here's what
1600,should have said or ways to connect
1601,should I talked to Daniel Orosco a lot
1602,should if I'd had to completely retype
1603,shut up
1604,side into the poems and those kinds of
1605,similar to this and that was how I
1606,simple way of explaining it her simple
1607,simplicity I mean what I really I don't
1608,simultaneously the the arc of my career
1609,since 1972
1610,since since moon in a mason jar that
1611,Singh that issue up there the Obama
1612,six poems in the title of what I
1613,slowness of the process writing my
1614,Smithsonian wanted to see if all Lizzie
1615,snakes lives and the animals earthly
1616,snakes yeah which is a very sound driven
1617,snippets which I find myself compelled
1618,so about 2007
1619,so and to that extent I guess I
1620,so are you kidding me you should you're
1621,so begin to know what the second book
1622,so forth that show me opportunities to
1623,so get back to sort of the general Greek
1624,so I didn't dress up if Allah is the
1625,so I get some sort of I mean we're sort
1626,so I guess so we've seen a fetus finder
1627,so I knew which was which and when was
1628,so I know exactly which I can go back
1629,so i'm i don't leave tilt so i put in
1630,so knock yours out here yeah see brink
1631,so much of the sort of the professional
1632,so okay so you're just saying you back
1633,so since reign of snakes we got that one
1634,so then I guess overall that if we can
1635,so they don't they don't clutter up or
1636,so yeah so I'm sorry
1637,soilless she puts up just oh I think I'm
1638,some of its going to be repetitive so if
1639,some piece that I might resurrect and
1640,some seem important enough to print off
1641,some sense and even then I might just a
1642,some things for me but mostly no I don't
1643,some through it look for a poem or look
1644,some ways because I mean you know I
1645,someday people keep telling me I should
1646,somehow it seems I mean I never have
1647,somehow yeah it makes every week let you
1648,someone could go through and actually
1649,someone were really interested in were
1650,something but what they're really about
1651,something eventually is going to
1652,something go slide and I just turned
1653,something I didn't quite have the
1654,something I'd been doing all along
1655,something I've seen outside the outside
1656,something not so much the thing as the
1657,something oh yeah I forgot about this
1658,something some phrase or word out of
1659,something sometimes with my mom but most
1660,something that might last but you know
1661,something that once you've said that to
1662,something that you came to realize you
1663,something that you got ahold here yeah I
1664,something that's the supporting eight
1665,sometimes at a kitchen table you never
1666,sometimes it's like we'll have to do
1667,sometimes seemed kind of odd or they'd
1668,sometimes the bulk of the poem and
1669,sometimes those things get so tangled up
1670,somewhat constant in that or like like
1671,somewhere along the line I began to
1672,somewhere around 2000 late 2008 Ott's
1673,somewhere but I would not even remember
1674,somewhere faster or so it seems
1675,somewhere I think they're in a box in
1676,somewhere if people hate you
1677,sonnets I think I've published two in
1678,sonnets right on yeah I mean I've done
1679,sort of circumscribing what the poem is
1680,sort of I have a system and I suppose if
1681,sort of I mean you call much a little
1682,sort of liked the idea that I that the
1683,sort of meant to be more gone through
1684,sort of moving into organizing the
1685,sort of noodle around the way out you
1686,sort of pressing business do you think
1687,sort of questions late you know with
1688,sort of staggering to to try to remember
1689,sort of sticking them to one side yeah
1690,sort of there's something about a tat of
1691,sort of went old-fashioned on myself and
1692,sought out information about methods for
1693,sound it's for me a compositional tool I
1694,sounds fine to me
1695,southern Illinois University at
1696,space he said the desk I said I I
1697,space to write it I had this one or the
1698,space which probably would have been
1699,split the job and each talked to two and
1700,squeeze it see the silence and metal in
1701,stable work that's been published you
1702,start about your writing process
1703,start actively composing and composing
1704,start getting getting movement toward a
1705,start putting words on paper so that's
1706,start using a computer to do these
1707,start where there's like things that it
1708,started and go in for lunch about
1709,started out in Edinburgh in Scotland
1710,started writing down does it like you
1711,Steakhouse hill right over here how 95
1712,step of writing my hand then going to
1713,sticky wicket Hugo like that this
1714,still alive pushing 80 was really kind
1715,still allowed the the word processing
1716,still found a way to make its structure
1717,still got the poems so I can tell me
1718,still I mean I've got almost all the I
1719,still I need to win another prize I
1720,stitch those things together in the
1721,store individual poems for the
1722,storybook thing that happened that I
1723,strangers vets amputees just you know
1724,structure or about its its movement that
1725,students that I'm gonna hate to revise I
1726,studies in American and English
1727,studio the lens that is my eyes an
1728,study what you've done documents like
1729,stuffing what this is telling us yeah
1730,submitting a poll I just sent a poem
1731,substantial electronic presence
1732,substituted sort of mode as well it's a
1733,subtractive and pounding for de creus
1734,success I really don't need to be in any
1735,summary thought or folder which backs up
1736,surprise myself for how to do those
1737,swallowed me and I had to escape from
1738,Swift with the computer than it ever
1739,switch sometimes though I mean you
1740,syllabic line just to just to force me
1741,syllables I like composing say a deck of
1742,syllables more when you're writing it
1743,syllables of the subsequent line just to
1744,take a few photographs document
1745,take the shotgun out and blast out of
1746,take them for about a hundred two
1747,talk about that ago some questions later
1748,talked about having an external hard
1749,talking about how you probably take your
1750,talking about in volume a different
1751,talking talking about poems because some
1752,taught the bridge and you know they both
1753,teacher but a magnificent teacher he
1754,teaching a couple classes for that year
1755,teaching and the sort of advent of the
1756,teaching at LC so I've published ring of
1757,teaching maybe insofar as what I love
1758,techniques class of tried teaching in
1759,techniques or formats that you were able
1760,technology we well it's inescapable at
1761,tell I probably have 250 of these piled
1762,telling me and it'll back and get that
1763,ten it varies depends on what else is
1764,terms of of writing north of living in
1765,test with the computer I mean just
1766,text on the computer which I would then
1767,text to text on the computer screen and
1768,than it is now
1769,than it was now but or maybe it hasn't
1770,that act of laying them out on the floor
1771,that are going to be really really
1772,that are you revising towards like Ida
1773,that box I go through a poem by Palmer
1774,that can allow me to make a stitch here
1775,that computer will automatically do all
1776,that connects those two things so across
1777,that does concern me and then despair I
1778,that for years I started 1995 and and
1779,that I can break so it's it's a that I
1780,that I had a big marble Oh book end at
1781,that I not sort of run the line on too
1782,that I'll look at even at homes of
1783,that in some ways
1784,that in the beginning
1785,that interests me a whole lot more than
1786,that is
1787,that is to say that the period at the
1788,that it's you're guaranteed basically
1789,that just turns on a switch that just
1790,that kind of response to a poll you got
1791,that little sonic wind sprint as I
1792,that part of the process when the
1793,that point in my life or my career as a
1794,that really change anything I don't you
1795,that should make it that much more
1796,that sort of idea changed over years of
1797,that sort of show that process how that
1798,that sort of thing
1799,that stuff for you I don't think that it
1800,that that that part of the technology of
1801,that that that what is now the last poem
1802,that that's either things that have been
1803,that that's that's both the downside
1804,that the Tom was probably confusing or I
1805,that they can they only have to call you
1806,that thing just looking up and watching
1807,that this is
1808,that was in Montana baya they Matylda
1809,that was Kim's idea - I couldn't write
1810,that was one of the great things about
1811,that was really kind of a that I helped
1812,that way but then I don't yeah because I
1813,that whatever sort of disposition I have
1814,that's actually tremendously good advice
1815,that's amazing you know that's good
1816,that's been about it I don't really and
1817,that's here that we'll get to that
1818,that's just a great luxury Seattle yeah
1819,that's just my way of inviting what was
1820,that's just silly why would why would
1821,that's my business file and my personal
1822,that's number one number three and
1823,that's sort of either your main focus or
1824,that's useful and I can build with um
1825,that's when I really got started on it
1826,the
1827,the book because something was missing
1828,the book every one of the publishers
1829,the book if you know what I mean seems
1830,the book is going to be this is how it's
1831,the books and as he said to me and I
1832,the books and reading which was your
1833,the bulk of the composition on the
1834,the class on a kind of lark thinking how
1835,the cloud yeah and and that's it and
1836,the computer and then going back to the
1837,the computer helps to facilitate it
1838,the computer you were using the
1839,the difference between two files as one
1840,the file I'm sure I I one welcome
1841,the first I don't I think I was on
1842,the first little Oh cat pass go over to
1843,the first part of earthly meditations I
1844,the first quatrain ended with a period
1845,the first time I started leaving out the
1846,the handwriting and put things down
1847,the house and they're they're just the
1848,the in process folder that little thesis
1849,the in the screen that becomes success
1850,the individual poems as I find ways to
1851,the internet so I mean it's it's a
1852,the Italian octave I like a BBA a BBA
1853,the law a long sequence of poems called
1854,the life side maybe less so on the
1855,the line is for me separable from what I
1856,the lines were but that also required
1857,the Mac
1858,the Mac to just so I can back things up
1859,the major revisions even here probably
1860,the Master of Fine Arts in which they
1861,the midst of it it's almost like the
1862,the most recent one but they they never
1863,the name of the magazine on it and in
1864,the network is yeah this is a what is
1865,the next thing the next word the next
1866,the oil fields and pipelines in the
1867,the old date goes away so you know I
1868,the only way to submit into New Yorkers
1869,the period which sort of establishes
1870,the pile but they get shuffled because I
1871,the place that's likely to break for
1872,the possibilities of it me being able to
1873,the question that I'm interested in is
1874,the river which I have no memory of
1875,the same as a typewritten I don't
1876,the same thing just wave me on I feel
1877,the security and fixity of your files
1878,the shapes of the letters themselves
1879,the spring in which we'll be we'll be
1880,the technology there are any sort of I
1881,the the first job that I got was down at
1882,the thing in 2002 I couldn't Ethernet
1883,the thing in intercept Cermak what I
1884,the thing that in the drafting process
1885,the time in the tls literary supplement
1886,the tops of compositional spots like
1887,the train oh Jesus no I did Jesus Jesus
1888,the tree I think I got three or four
1889,the tree other way because next year
1890,the typewriter as far as it went
1891,the typewriter so great um yeah so okay
1892,the UK all she did when we were in all
1893,the what the class was called it was an
1894,the whole of course but the assemblage
1895,the whole of the manuscript yes and then
1896,the whole thread of the thing one email
1897,the window that's why I don't know about
1898,the window well it's true I spend a lot
1899,the you're using the computer has given
1900,their papers with but I've got pencils
1901,them are not called dad anymore so but I
1902,them Henry a couple times since but
1903,them on paper yeah
1904,them or Mnet's go in and out yeah which
1905,themselves away from the university
1906,then a fifth envoy sort of the
1907,then add what I'd written longhand on to
1908,then I just got away from that and and
1909,then I'm sort of forced to commit prose
1910,then so that worried me so I had this I
1911,then there's other times there's like
1912,then went to Newcastle or he did good
1913,theoretically it's safe there yeah that
1914,there another years of notebooks and
1915,there are certain things they just got
1916,there are some I
1917,there every ten years so I'll be ancient
1918,there in poems so I don't consider the
1919,there was not email oh yeah oh yeah I
1920,there what might I what might I not have
1921,there you are at home and and you
1922,there's a big big chunk cut and some of
1923,there's a little piece of wood functions
1924,there's a manuscript under a particular
1925,there's a poem called ant and I've got
1926,there's a poem in anatomy and melancholy
1927,there's also sort of substituted
1928,there's no doubt that that for me it's
1929,there's no guarantee that and you know
1930,there's no handwriting there's no
1931,there's so there's no thought being sort
1932,there's some great advantages about
1933,there's the the in the back go all the
1934,these correspondences did we want email
1935,these two poems in there so there's an
1936,they are all books I've pulled down as
1937,they could read about Krane yeah which I
1938,they don't have to make an appointment
1939,they were Dick Hugo and Madeleine trees
1940,they'll be poems in which they're you
1941,they'll say where do you get your ideas
1942,they're all jumbled together I don't
1943,they're also called spring binders and
1944,they're not in any well they are in a
1945,thick of letters from facility that's
1946,thick on her because she written run a
1947,thing and highly musical and then I when
1948,thing and the other thing is that
1949,thing as writing they're they may be
1950,thing on Oh Mike yeah so cellophane so I
1951,thing with individual pieces a lot of
1952,things and then secondly what was there
1953,things are what occurred to me as
1954,things change bummer
1955,things like the reason I keep writing
1956,things that he's he backs everything up
1957,things that might lead me to surprise
1958,things that they said and sort of bind
1959,things they need to consider I never
1960,things we thought was that there were a
1961,things when I want to know that's one of
1962,things where I submitted things accepted
1963,think in the selected poems I use maybe
