line,words
411,"KM: Oh, I don't know. Whoever it is, I don't know them personally, and I don't remember what their name is."
412,
413,"DB: Yeah. That's fascinating. I know that the New York Times had that one where they'd make little haikus, too. Similar project, not as good. So, getting back&#8212;do other people play any roles in all these things? I guess I'm interested in how it was writing to the list serve in that early stage. I mean, in terms of revision and kind of the forces that sort of morphed your poetry&#8212;what was that like?"
414,
415,"KM: That was great. I think, really, most members of the list would agree that was the most stimulating thing about being on the list&#8212;just feeding-off everyone else's excitement and creativity, because it was very much a big hug fest. There was almost nothing critical going on in there, ever. We just try to write stuff to bust each other up. And it would be very responsive&#8212;if somebody wrote a poem with farting unicorns, somebody else would write one and expand on that. Like, farting glittery unicorns, you know&#8212;the sillier the better. The more obnoxious, the better."
416,
417,"DB: So, that sort of frivolous stuff&#8212;the farting unicorns&#8212;that sort of silliness was very highly valued on the list serve?"
418,
419,"KM: Yeah. I mean, that was kind of the original spirit of Flarf. And I think it's also part of the reason for a lot of the resistance to Flarf from experimental directions. There was a sense that it wasn't taking the struggle seriously enough, or something. Which, you know, I think is what comes out of this, for me, misguided sense that this absolute stone-facedness is necessary at all times. And, there are times where there are legitimate objections, and I'd rather not go in to details. But there are, you know, some poems that upset people."
420,
421,DB: Right.
422,
423,"KM: And I think it was very upsetting to the people who wrote them that they did upset people, because even though it might seem from the outside like, ""Well, weren't you trying to offend people? Weren't you trying to get people upset?"" But it was like, ""Well, no&#8212;not these people."""
424,
425,"DB: Right, right."
426,
427,[44:43]
428,
429,"KM: And I think initially we were very resentful about it. It felt like, ""Oh, we're on your side and you're misunderstanding us. These are not racist or sexist or otherwise vile intentions that you're looking at, here."" But, I mean, I feel like as time has gone on, I try very hard to be more sympathetic to that response because out of that context that it emerged from, it's easy to see how a poem that mentions certain things in certain tones is almost impossible to separate from a poem that mentions those things in that tone with different intentions. And I think, even past Flarf, things like that are going on right now with some of the younger conceptual writers in this work I really admire, but then I see other poets I really admire feeling deeply hurt by the work they're creating. It's very difficult. I don't have a way to kind of justify any of it, or to put it in to order in my mind."
430,
431,"DB: Yeah, no. It's a tough one. I mean, a lot of your career and a lot of your writing has kind of happened from the internet and on the internet&#8212;with the blogging and the commenting&#8212;and that seems to have, in some ways, died down a bit?"
432,
433,"KM: Yeah, blogging seems to be a thing in the past. For me, anyway."
434,
435,"DB: How did that shape your practice, your writing? You say that you've evolved in some ways about your opinions on some of the content that would be included. Have there been other effects? Could you elaborate more on that?"
436,
437,"KM: I'd say what I've evolved in, at first, is not necessarily... I haven't changed my mind about some of the&#8212;I don't know what you want to call it&#8212;""starting theory"". I've tried to become more empathetic and not immediately judge anyone who doesn't get it."
438,
439,DB: Right.
440,
441,"KM: Or, see, even using a phrase like ""doesn't get it"" already shows a little residual judgment. There may be more than one way to ""get it"" in some ways that don't match our intentions, and we need to consider that we're accountable for that."
442,
443,[47:13]
444,
445,"DB: Right. Well, and so much of the sort of the latter part of Flarf has been sort of the death of Flarf, in some of the blog posts and whatnot. Was that partly the reaction? Just like, ""Let it go""? I mean, where does it go from there, I guess, is the question."
446,
447,"KM: I'm not sure how much. I think ""Death of Flarf,"" most of the time, was a phrase we used ourselves just to kind of, like, kill the beast before it killed us, or something. But I think it just ran its course. I think, like any movement, the movement itself had its main value in the way it motivated the members of the movement, and that most of the writers go on to write however they're going to write. And it's influenced by that, but it's not the same. But your original question was about the blogging?"
448,
449,"DB: Yeah, and kind of how that influenced your own writing."
450,
451,[48:06]
452,
453,"KM: I don't know. I think for me, again, the main value of the blogging thing was to bring me in to contact with other poets and having discussions. I think there were a lot of people&#8212;in the early aughts, especially&#8212;blogging every day, and we were having fun conversations. For whatever reason, people moved on to other platforms, and other projects. And it also ran its course. But I don't know. I mean, I think the main effect was just social."
454,
455,"DB: I guess one question is could you have written the ""sonograms"" in the way that you're doing without Flarf? What sort of influence was there?"
456,
457,"KM: Well, there are certain surface similarities, right? I mean, the idea of the refrigerator magnet process&#8212;pasting something into Word and using that as my template. So, yeah, I think in some ways, at least originally, I considered it an extension of Flarf practice. I guess there's no way to say that it is or isn't. There's no definite meaning to that. It is if I say it is, I guess."
458,
459,"DB: Right, right."
460,
461,"KM: But, yeah. It's probably something I wouldn't have done in quite the same way I did it if I hadn't been doing Flarf."
462,
463,"DB: This goes back to some of the questions we were just talking about, but what sort of skills did you learn in doing the Flarf that kind of go into the ""sonograms""? What did you come in feeling strong about, and what did you learn?"
464,
465,"KM: I think it's what I mentioned earlier&#8212;just that approach to arrangement. Finding clusters, finding strings in already existing verbal groups. Kind of being able to sift and sculpt something that was already in front of me."
466,
467,[49:45]
468,
469,"DB: Yeah. So, I think we've kind of covered some of the general push through composition and revision, but I'm also interested in how you would put together the books, especially if&#8212;well, one question before we move in to that. Do you still write in that sort of traditional Flarf way? Are you still grabbing Google responses?"
470,
471,"KM: I haven't done it in a long time. I think I did a few kind of like ""post-Flarf"" Flarf poems for a couple of years after I started doing the ""sonograms,"" but eventually it just&#8212;I don't know. I think even the way it's configured on the internet now is such that it doesn't work quite the same way. I couldn't tell you exactly how, but I know the one or two times in the last year I even thought about trying to go back and do it, I thought, ""Oh, this isn't the same."""
472,
473,"DB: There's a lot more information like, underneath, and on the side. I mean, it's just kind of taken-over in so many ways."
474,
475,"KM: I think, yeah. And part of it is Google has gotten too smart."
476,
477,DB: Yeah.
478,
479,"KM: Things are grouped according to usefulness, rather than just random occurrence of words."
480,
481,"DB: And who you are, too."
482,
483,"KM: Yeah, it knows me too well, and it's&#8212;I don't trust it."
484,
485,"DB: Google will let it appear, and Google will let it disappear. Terrifying. But in those terms, what were you using? Like, how were you composing the books then&#8212;like Deer Head Nation and Breathalyzer and The Front? You don't really have sections in those books&#8212;they just kind of go through, right?"
486,
487,"KM: Really, the only one that's thematically organized in any sense is the first one. I mean, with the whole deer head theme which, like I said, is just a sort of floating metaphor."
488,
489,DB: Right.
490,
491,"KM: Breathalyzer and The Front are, in all honesty, pretty much interchangeable, in terms of how the poems are chosen or grouped. They're just individual poems. And I actually have a full other manuscript that may or may not get published from that period. It's just been so long now that, even though I actually like some of the poems there, I thought, ""Does anybody really want this now? Has the time passed?"" It's called Monsters, and tentatively it might come out from Edge Books, but I haven't followed up on my obligations off getting the manuscript in. So, I don't know where I stand with that. I may have screwed it up."
492,
493,"DB: When you were publishing these books, and maybe with Monsters, do you have relationships with the editors where they're revising the shape of the book?"
494,
495,"KM: Well, I definitely have a relationship with the editors. But I mean, like Rod Smith for Edge&#8212;fantastic editor, fantastic poet. But he's pretty hands-off in terms of the actual creative content. I'd say his input and his helpers' input comes at the level of things like layout."
496,
497,DB: OK.
498,
499,KM: Yeah.
500,
501,"DB: And then I know you have, also, some e-chapbooks and whatnot. What do you feel about those, and how do you end up with them?"
502,
503,"KM: I haven't even looked at them in so long, I can hardly give you a clear answer. I remember some of it was very early Flarf, but again, I haven't looked at it in a long time. I suspect I'd probably just cringe looking at a lot of it. Because I think what was initially exciting about the process is what quickly becomes predictable and crude about it&#8212;like, ""Oh, look! This text comes off the internet. It smells like the internet! Look at it, you can see internet all over it."" It becomes kind of obvious after a while."
504,
505,DB: Yeah.
506,
507,"KM: But, I don't know. Yeah, I mean that's all so long ago."
508,
509,[53:22] STORING AND BACKING-UP WORK
510,
511,"DB: And in terms of the digital documents that contain those manuscripts and those books, I mean, are they in a certain spot in your computer somewhere?"
512,
513,"KM: I think I just have the original Word documents of them, and then whatever else is out there. Or maybe a .PDF, in a couple of cases."
514,
515,"DB: Do you feel in any way&#8212;and this is getting back to the more technical stuff&#8212;sort of like ""dear"" towards them? Or are you like, ""These are there, but really, the book's the book""? Like, is there enough value on them that you make sure where they are and that they're valued, etcetera, on a digital format, too?"
516,
517,"KM: Well, there's at least that much value&#8212;that I know I have copies of them. But beyond that&#8212;and again, I'm not trying to be evasive&#8212;it's not that I actually am embarrassed, or have strong feeling one way or the other. It's just that I really don't remember that well what's in them."
518,
519,"DB: Okay, yeah."
520,
521,"KM: Because I was just doing so much stuff at that time. I mean, I'm sure if I took a few minutes to look, I'd go, ""Oh, yeah! This one. I like this one,"" or ""I don't like this one so much."" But I'm trying to even form a mental image right now and&#8212;yeah."
522,
523,[54:34]
524,
525,"DB: So&#8212;I do have a few Flarf questions I wanted to make sure I asked, but I think I got through most of them. One of the questions I ask the other people who teach&#8212;and you teach, too&#8212;is how does this influence the way you teach? What did Flarf teach you that then you tried to teach them, or anything in that sense?"
526,
527,"KM: I guess, the single most important thing is just that it has to be fun in some level. I mean, I wouldn't necessarily frame it as ""Flarf"" in the classroom in this way, but I think one of the first things I try to do in the beginning in the classroom is break down the sense of over-seriousness that sometimes holds people back. So, I'll give them exercises&#8212;which people were doing a lot before Flarf&#8212;you know: write the worse poem you can. Things like that. Or I might, for a specific exercise, suggest procedure that is relevant to Flarf, but I won't say, ""Okay, now we're going to write a Flarf poem."" There are, inevitably, times when it comes up, or somebody in the class has heard of Flarf and they say, ""What's Flarf?"" and the story will get told. But I actually try to hold back on that because too often it results, I think, in exercises that might be fun for the student, and even produce humorous material, but don't necessarily contribute to the kinds of foundational verbal skills that I want people to concentrate on. Or if it does, it doesn't for everyone. For some people, it can be a way to avoid."
528,
529,DB: Right.
530,
531,KM: But I guess that's true for everything.
532,
533,DB: And what are those sort of foundational verbal skills that you're after?
534,
535,"KM: I mean, just really basic conservative things like rhythm, like avoiding cliches. And just writing something where you're not just recycling received notions of what a poem ought to be."
536,
537,"DB: Right, yeah. It's all about kind of getting towards writing something interesting, making something interesting to a reader, right?"
538,
539,"KM: And looking in to sources that you might not immediately consider, you know? Encouraging them to read a lot of poetry. Just the really basic things."
540,
541,"DB: Right, right. Just a few more questions. I guess...Eh, no. I think we're good."
542,
543,"KM: Oh, good."
544,
545,"DB: Thanks, Kasey."
546,
547,KM: Yeah!
548,
549,DB: That was really great.
550,
551,KM: It was a pleasure.
552,
553,DB: Yeah.
554,
555,KM: Sometimes I'm so croaky&#8212;
556,
557,"DB: No, it'll be cool, you know, whenever it shows up. Ah&#8212;the off button."
558,
559,KM: Are we Friends on Facebook?
560,
561,DB: I don't have a Facebook.
562,
563,"KM: Oh, Okay."
564,
565,[End of Transcript]
