poet,detail,tag,quote
gerstler,"Like Beasely with the notecards, dice, and dictionary prompts, she returns to pre-digital card catalogs for the unexpected associations, juxtapositions, tangents. An aspect of research hard to replicate via the internet.",prompt;change,"Well, I get ideas for poems, and sometimes they're phrases or sort of topics, or weird feelings, or vocabularies, or I want to write a poem based on the initial sort of generative impulses-Oh, this has to do with hurricanes and my mother-in-law. You know what I mean? Or something like that. And I love research. Research is, to me, such a rich, poetic, amazing exploration, and is full of the unexpected. Like-this is another thing that relates to sort of digital stuff, at least in my mind-one of the only things I miss about pre-digital is card catalogs, because, thumbing through a card catalog, I would be taken on many more weird tributaries than I get doing a computer search in a library on whatever. You know, I'd be looking up the history of ferns or something, and I'd come across the history of shock treatment, and I'd be like, Oh, that's way more interesting than ferns. What do we got here? And then go find that book or something. So, that I kind of regret, the way computer indexes are set up. It's actually a little harder to find things, I think, on topic. But anyway-I'm talking about going off on tangents and research, and I just went off on a tangent."
gerstler,"Difference between lucky finds in journalistic reserach and the neceessity of stumbling upon new ideas for literary projects. ",prompt;change,"For poetic and literary kind of research, I definitely miss the kind of strolling through the card catalog and all the different little blooming subjects that you would come across. Although, occasionally, in doing any kind of research-even a very sort of scholarly or fact-based project-you would come across something useful but that wasn't something you were looking for specifically, something that you didn't know was going to be there. Whereas that would be serendipitous in a kind of journalistic- or factual-type research, and it would be totally the point in more poetic or literary research may be."
gerstler,"Likens manuscript production process to interior design, awarness of shape and cover art as well as balance between darker and lighter subject matter. ",mss;change,"More or less. For me, if it's a book of poems, some books of poems are sort of like a scrapbook, or a portfolio, or something, and some of them are more thematic, or the book itself has some kind of looser type-in my case, it's usually loose-structure, or trajectory. And even the ones that are kind of a sampler, I spend a fair amount of time trying to figure out, What's the first poem? What's the last poem? What's the movement? How do they work together? How do some of the last lines of ones feed in to the title or the first line of the next one? What looks good next? In a way, it's sort of like, though it's not exactly like, interior decoration-you want it to flow, have ups and downs. With me, it's like, What's the mixture of dark and funny ones? I mean, you do mini version of that when you're reading, even. And then sometimes it's like, Oh, this is going to be in sections, and, Are these sections going to be numbered? It's basically manuscript construction, right? And if you're dealing with-I mean, I've been really lucky in being able to pick a verse because, you know, it's a funny thing with poems. It's like hardly anybody publishes poems anymore, and if you're lucky enough to get a book of poems published, usually they're not treating it like it's, you know the next big best-seller. They don't have a big investment in it. So, the fact that it's much less a big deal to them has its pros and its cons, but one of the pros is, usually, they're not going to impose a cover on me, because it's not like, Well, this is going to be a blockbuster, and therefore, we need to have this kind of cover. So, I get to pick covers by artists that I like usually. So, thinking about that, and how the title-the overall title of the book-where that's going to come from."
gerstler,"Anticipating use of something like InDesign for greater flexibility when it comes to digital manipulation and shaping of text, layouts. ",mss;change;software,"In the dark ages with, you know, lint and dog hair and crumbs. But I'm sure at this point there are multiple programs-there must be-that if I knew how to use them, I could pull the thing together and look at it on a grid, or two grids-something like that. Or scan things in."
gerstler,"File titles as shorthand for easy poem recognition, as opposed to the finished poem title itself --> emphasis on findability via subject versus date.",files,"The names change, because I was so happy when I realized that you could change the names. Because I start out&#8212;and this is more true of poems than anything else&#8212;but sometimes I'll start out calling something, you know, Ostrich Parade, or something, and then by the time I get to the fifth draft, there are no ostriches in it anymore, and I'm going to remember something else in order to be able to find it quickly. So, I will change the name."
gerstler,"Email and digital editing tools changed the nature of both journalistic revision/correspondence and ability to maintain aeshtetic intentions with poetry submissions. ",change;between;revision;correspondence,"Yeah, like almost the whole time that I worked at Art Forum, it was like-well, at the beginning-it was like over the phone, you know, Blah, blah, blah. And then it would be like somebody would mark something up and send it to you over email, and then you'd go argue with them over the phone. But you wouldn't be sitting there over the phone going, OK, in paragraph 3, about the middle, this sentence, this word-you know what I mean? Again-making things much more efficient, speeding things up. And also, it was a lot about-for me, but I don't think I was alone in this-a lot about learning curve. Figuring out how to use the computer, and what you could do with it graphically, also, with poems. Because suddenly, you know, on a typewriter and on the early computers, you couldn't play with typeface, you couldn't play with type size. People who wanted to make concrete poetry or poetry that uses, you know-they really worked hard. You know, all those guys back in the day they worked hard to get that written and then made sure that it went in to print as the artistic, graphic, on-the-page creation that they wanted to make."
gerstler,"Again with the pros and cons of tactile process--cutting and pasting by hand versus digital manipulation of the text. How this early process was fun, but also hard to render as a polished final draft. ",revision;early;paper;,"Kind of. And I actually-this is making me remember things-I did a lot of cutting with scissors and taping together with scotch tape. I did more and more and more of that. So, you can't believe how happy I was. And, you know, you'd lose pieces, or the wind would blow them, or the dog would eat them. You know what I mean? And then if you tried to Xerox something like that, they would have these big, gross lines, and it would just look like, Yay! We're in kindergarten!"
gerstler,"She saves the sharing of work with fellow writers for a limited number of correspondents, towards the end of the drafting process. ",correspondence;revision ,"Yeah, It's all about me today! You know. So, I have a few people I try not to tap very often, and much later in the process. And I try really hard to do it myself, and to come back to things multiple times from multiple angles. Because, you know, when you're younger, you have a lot more friends, and you're all young, and you have a little bit more time, and maybe people aren't locked in to jobs or families, and you're all artists and writers together coming up. And then there's some winnowing. At least this has been my experience-probably other people have a different experience-but some people stop doing it and do something else. Which is cool. Some people get very busy, or you lose touch with them. And then a lot of people have jobs and lives that-you know, they're already reading their students work, and trying to make a living, and trying to keep their life together, and do their own work. So, you know, you're like, Hey, here's sixty pages of my poem on top of your busy, multi-tasking life. Have fun!"
gerstler,"Email and file storage/archives via Carbonite. ",correspondence;future,"Oh, yeah. Some emails I print out, and many I save by leaving them on the computer. And again, since the gods of Carbonites are supposedly looking out for me, it's saved there, too"
armantrout,"Initial drafting, from notebook to iPad.",paper;between,"Well, actually, I probably work primarily in this old school device called notebook where I, you know, fill pages with illegible text, and then once I start to think that my text is coming together, very often I'll do a version of it&#8212;just type it into the iPad. "
armantrout,"Only some files get saved--others get saved over. ",files;between;future,"I mostly save over, which is not a good idea. But sometimes I have printed out drafts, and I save drafts. I probably do not save all of them, which is not great, but I save a number of them and then eventually, I'll probably give them to the library."
armantrout,"Thesis binders are a time-honored tool for printed-out poems and experiments in manuscript structure.",mss;paper,"So, this is really old school. But the way I use it is, it helps me order&#8212;not only keep the poems for the manuscript, but I order the manuscript this way. I mean, I kind of decide what reads well by trying the poems out in different places&#8212;"
armantrout,"One project at a time yields stronger focus towards completed manuscripts.",mss;revision,"Almost never. I'm kind of, you know, obsessive when I start something. I just work on it until I finish it. I mean, once in a while I give up on something for a while and set it aside, and go on to something else, and then go back to it. But I'm not actively working on two things at a time."
armantrout,"Producing more poems loosens up the manuscript design process, and allows conversant work to rise to the top.",mss,"I'm writing more now. So, I get to make some more choices&#8212;I get to cut things&#8212;cut a manuscript down, save some things for later. So, I get to make some decisions about how the poems work with each other and it's kind of intuitive."
armantrout,"A tradition of sharing work with fellow writers began on paper back in the 1970s, and continues today via email. ",correspondence;career,"So, I had lengthy correspondences actually on paper with the people back in San Francisco&#8212;not all of them but some of them. I can't believe it now, how much time we spent writing long letters out by hand, or typing them on typewriters."
armantrout,"Compared to typewriters, digital tools fast-forward the transition from notebook page to screen. ",change;paper,"Well, I think, I always used a notebook. You know, I couldn't tell you exactly what the notebooks looked like way back then, but I always wrote by hand. I think I wrote by hand then&#8212;I'm sure I did longer, took me longer to write a poem, and it also stayed in the hand-written phase longer because back then, when you left the hand-written phase, you had to go to a typewriter. You're too young to know about typewriters, but they were enormously irritating because if you made any mistakes, you had to either start over or put whiteout on it, or you know, etcetera. And then, you would make a copy. I mean, you would print it out and if you wanted another copy, you'd have to type it again. I mean, right?"
armantrout,"On eavesdropping (literally or visually) to generate material.",paper;prompt,"Yeah, I mean, I often start that way&#8212;then, and still, you know. I can&#8212;just something that I hear or see, sort of peaks my interest. It could be something I read, and I'll write down a passage, or I'll write down something I overhear someone say, or even on television, I could hear something that I write down."
armantrout,"Post-computer, pre-internet.",early;change,"&#8212;later, maybe. Yeah. I think I got that Selectric in the mid-80's, maybe, you know&#8212;I probably got the computer by the late-80's, and I don't think I got internet until&#8212;there wasn't internet that you could get until the early 90's, probably."
armantrout,"Despite the convenience of the iPad, hard copies are still best for reading. ",printdig,"I don't like to read on the screen. I mean, I do read things on the screen, but if I'm judging a contest or something, which I sometimes do, I ask for hard copies. Or if I get them on the screen, I print them because I just don't like to read on the screen. I mean, I don't want to sit up there on a hard chair. I don't want to look at that light&#8212;"
armantrout,"Parallels between sped-up correspondence via email and increased productivity as a poet. ",change;correspondence;revision,"I think I did. I mean, I would type something up and send it, usually to a couple of people&#8212;two or three people&#8212;and I would get responses back. But it certainly&#8212;I mean, now we're so used to kind of this instant dialogue, instant gratification. Sometimes I think that that's, you know, maybe that's why I'm writing faster now. Really, it is the stimulation of that."
armantrout,"Moving from page to iPad to computer distills the drafting process. ",prompt;revision;files;between,"Well, like always, I started here and I moved it to the iPad, and then I moved it to the computer&#8212;-but I was sending&#8212;I think I start writing&#8212;usually, I write in the morning, sitting over there. And I don't want to be running up and down the stairs, so then after I'll just go, You know, this looks good enough to kind of type. So, I'll type it here. And if I don't yet feel like sharing it with someone, I'll just send it to myself because that's a way of saving it."
armantrout,"Feedback via email spurs faster revision, completion, and moving on to the next poem. ",change;revision;correspondence,"I mean, I'll go, Maybe it's not good. Maybe I should do something else. So, you know, I think that's why I need somebody to give me a kind of endpoint and say, Cut it out now."
armantrout,"Writing to the archive gives added context to projects, process. ",future,"Well, I think at some point she sold her papers and I went, Oh, people sell their papers and they get money. And also I would notice that she wrote letters as if she was writing for an archive. I mean, she would kind of give you the back story that you already knew, and I'm going, What? Who is she talking to? The archive!"
strickland,"books have much more staying power; digital/online poetry productions very hard to capture/record, like a theatre performance --> once it's done it's done",printdig,"But I would never not want books. You could see that. The minute you start to do digital work, there's a certain way—in the same way that, if you're a theater person—that you have to let something go. Even more than you let a manuscript go. Today's performance was today's performance, and that won't come back. Even if you videotaped it, it really doesn't come back."
strickland,"Paper enables better long form argument",printdig; paper,"Well, if you're writing something long with a complex argument, I think it's much easier to read and have it in front of you on paper and read it out"
strickland,"writing poetry on paper provides enormous freedom, when compared to digital forms",printdig; paper,"it's not fluid enough to do poetry. I mean, it restricts you way too much in terms of formatting compared to what you can do on a page by hand in terms of how you want to scratch things out or put something right in—"
strickland,"hyper aware of changes in software and, due to one particularly bad experience, threat of data loss due to software glitches",between;paper,""
strickland,"writes back into notebooks to generate work by seeing whether an image or idea is still arresting",between;paper,"Because I want to go back and see is there—does it still have the pull for me that it did, the things that I wrote down at that time, because there are things that tend to be continually magnetizing for me."
strickland,"technology/software evidenced via usage characteristics as well as characteristic mistakes made",early,"So each technology actually gave rise to a certain kind of poetry and a certain kind of mystique. people making email or characteristic word substitutions that you do that you never did on the page—anyway, so I don't think that story has really been told because it shifts so rapidly, because you went from email to texting, to this to that, you know, and each one of those things has a different"
strickland,"used to rent a computer when going to residencies, mostly for printout",early,"I would rent a computer to have at that place because I wanted the print out, and I still want the print out."
strickland,"with digital work, there's no straight path (as opposed to print); sometimes Strickland provides path through",printdig;paper;mss,"that's for print because then in a digital work, there's not an in in the same way, right? In other words, there's an access often to all parts of it at once, you know in some kinds though I generally provide a default path through as well as more open thing."
strickland,"will revise within file with date and version listed; mss will get new files",files;mss,""
strickland,"IBM Selectric introduced erasing --> big deal but also required discipline",change; early,"I need those little balls on the IBM Selectric. That was like this huge thing that you could erase with an erase thing, that you don't have to pull the page out and start all over again. On the other hand, there was a discipline about that. "
strickland,"design intelligence lost due to changing technology; much explored disappeared already",future;software;change,"I understand Flash is a memory hog and all that when we moved to&#8212; but between those two things, those were very creative things, you know, and they haven't been really replaced. The HTML 5 and JavaScript doesn't do it the same way. I mean, people are trying to do it, so the thing is, they'll make an app. So, yeah&#8212;that whole thing just annoys me, that it's under the control of so few software, I mean, so few computer or software companies, you know, what you can do or what's supposed to be done and the way things are supposed to look. It was such an open&#8212;so much to explore and so much did get explored and has disappeared because of the inability to access it."
strickland,"stuck with digital projects/eliterature due to inherent possibilities and international aspect, the latter Strickland connects with the importance of global communication generally",software;prompt;,"the possibilities are just so great with respect to time and performativity and— —reach, and it's an international art form, the last of which was maybe concrete poetry. You know? We need to communicate. The world's problems are global, whether climatologic or poverty or what have you, right? Water, whatever; resources, survival. So, you need to speak—you know, I can't speak to 500 people, you know what I mean?"
strickland,"eliterature is hard to get, and so both worlds tend to be exclusive",software,"And I'm pretty much really deeply in both worlds, and they just don't get it. I mean they don't get each other and it's very hard with e-literature because it changes so much that unless you're deeply in it, it's hard to learn it."
strickland,"nature of eliterature work requires collaboration and is bracketed by limited amount of time",software;prompt;,"And so, it's how much can you get done in the time, and you hope to God that you think of the right thing at the moment that the person is able to implement it, and that you have this whole other thing that's really important to do, skip your mind or whatever"
strickland,"often has a vision of her projects but technology often not available to make happen; product is a negotiation ",software;prompt;,"So, I usually have a vision, just like with True North. It's a vision that's impossible, short of an installation"
strickland,"very non-traditional career both in medium and in practice, with struggles often to find time due to family and work committments",career,""
strickland,"collaboration, friendship paramount to her career and working methods",career,""
strickland,"no clue how to best preserve elit projects but believes video might be efficient",future;software;change," I think that the best way probably at the moment to save digital stuff is to have some video or something of somebody using it, plus people's notes, interview them about what they intended or whatever, save the code if you can, and adding emulation migration. All of it is so burdensome, you know? I"
strickland,"believes books and notebooks sufficient for archive; no need to save whole histories of revisions",future,""
